,clid,hhid,qb01,qb02,qb03,qb04,qb05,qb06,qb07_1,qb07_2,qb07_3,qb07_4,qb07_5,qb07_6,qb08_1,qb08_2,qb08_3,qb08_4,qb08_5,qb08_6
2286,1332.0,7.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",I,Member Of County Assembly (Mca),100.0,O,Gangs,0.0,,0.0,0.0,,0.0,0.0
2287,1335.0,3.0,110,Labour (employee/employer disp,Yes,Courts,Party has technical skill,"No, the matter is still pending",M,Courts,0.0,,0.0,,J,Lawyer,0.0,,0.0,
2288,1337.0,5.0,102,"Commercial (unpaid debts, unde",Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,8000.0,P,None,0.0,X,Other (Specify),0.0,,0.0,
2289,1337.0,9.0,103,Family matters (divorce; pater,Yes,Other (specify),Party has the power/authority,"Yes, and the matter is resolved",P,None,0.0,,0.0,,X,Other (Specify),1000.0,,0.0,
2290,1340.0,1.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Would cause least disruption to life,"No, the matter is still pending",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2291,1340.0,2.0,108,Disputes over personal propert,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2292,1340.0,2.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Most comfortable with this person,"No, the matter is still pending",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2293,1340.0,3.0,108,Disputes over personal propert,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2294,1340.0,3.0,109,"Domestic violence (sexual, phy",Yes,Directly to the other party,Tradition,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2295,1340.0,5.0,102,"Commercial (unpaid debts, unde",Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,100.0,P,None,0.0,C,Traditional Leader/Elder,100.0,X,Other (Specify),0.0
2296,1340.0,5.0,106,Natural resources (communal gr,Yes,None,,,,,,,,,,,,,,
2297,1340.0,5.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Would cause least disruption to life,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2298,1340.0,6.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Cost,"No, the matter is still pending",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2299,1340.0,7.0,105,"Criminal matters (murder,sexua",Yes,None,,,,,,,,,,,,,,
2300,1340.0,7.0,108,Disputes over personal propert,Yes,Extended family members (outside the household),Tradition,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,0.0
2301,1340.0,7.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Party has the power/authority,"No, the matter is still pending",B,Extended Family Members (Outside The Household),0.0,K,Lawyer,100000.0,B,Extended Family Member,0.0,J,Lawyer,0.0
2302,1340.0,8.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2303,1340.0,8.0,104,Succession and inheritance (in,Yes,Traditional leader/elder,Tradition,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,B,Extended Family Members (Outside The Household),0.0,C,Traditional Leader/Elder,3000.0,B,Extended Family Member,1000.0
2304,1340.0,8.0,109,"Domestic violence (sexual, phy",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2305,1340.0,8.0,110,Labour (employee/employer disp,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,0.0,X,Other (Specify),0.0
2306,1340.0,9.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,300.0,P,None,0.0,C,Traditional Leader/Elder,2000.0,X,Other (Specify),0.0
2307,1340.0,9.0,108,Disputes over personal propert,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2308,1343.0,10.0,109,"Domestic violence (sexual, phy",Yes,None,,,,,,,,,,,,,,
2309,1344.0,1.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,1000.0,K,Lawyer,35000.0,I,Courts,0.0,X,Other (Specify),5000.0
2310,1344.0,6.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,0.0,P,None,0.0,H,Police,0.0,X,Other (Specify),0.0
2311,1344.0,7.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2312,1344.0,8.0,105,"Criminal matters (murder,sexua",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2313,1346.0,5.0,109,"Domestic violence (sexual, phy",Yes,Religious institution/religious leader,Most comfortable with this person,"No, they could not help us with the dispute",D,Chief/Assistant Chief,200.0,,0.0,,,0.0,,,0.0,
2314,1346.0,9.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
2315,1348.0,5.0,108,Disputes over personal propert,Yes,National government official,Party has the power/authority,"No, the matter is still pending",K,Lawyer,30000.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2316,1349.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,G,Traditional Leader/Elder,0.0,D,National Government,0.0,C,Traditional Leader/Elder,0.0
2317,1352.0,1.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),2000.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,
2318,1352.0,2.0,103,Family matters (divorce; pater,Yes,Courts,Party has technical skill,"Yes, and the matter is resolved",M,Courts,200000.0,P,None,0.0,,0.0,,,0.0,
2319,1352.0,3.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
2320,1352.0,4.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
2321,1352.0,6.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),15000.0,P,None,0.0,,0.0,,,0.0,
2322,1352.0,7.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,,0.0,,,0.0,
2323,1352.0,7.0,103,Family matters (divorce; pater,Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,,0.0,,,0.0,
2324,1352.0,8.0,101,"Land (squatters, allocation, t",Yes,National government official,Party has technical skill,"No, the matter is still pending",E,Other National Government Official,5000.0,P,None,0.0,D,National Government,0.0,,0.0,
2325,1353.0,4.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",D,Chief/Assistant Chief,500.0,,0.0,,D,National Government,0.0,,0.0,
2326,1354.0,2.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Tradition,"No, the matter is still pending",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2327,1354.0,2.0,105,"Criminal matters (murder,sexua",Yes,Extended family members (outside the household),Cost,"No, the matter is still pending",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2328,1354.0,2.0,110,Labour (employee/employer disp,Yes,Other (specify),Party has the power/authority,"Yes, and the matter is resolved",X,Other (Specify),0.0,P,None,0.0,X,Other (Specify),0.0,,0.0,0.0
2329,1354.0,3.0,105,"Criminal matters (murder,sexua",Yes,Extended family members (outside the household),Proximity/location,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,L,Police,0.0,B,Extended Family Member,0.0,H,Police,2000.0
2330,1354.0,3.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Proximity/location,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,L,Police,0.0,B,Extended Family Member,0.0,H,Police,0.0
2331,1354.0,4.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Party has the power/authority,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2332,1354.0,5.0,108,Disputes over personal propert,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2333,1354.0,5.0,109,"Domestic violence (sexual, phy",Yes,None,,,,,,,,,,,,,,
2334,1354.0,6.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2335,1354.0,7.0,109,"Domestic violence (sexual, phy",Yes,None,,,,,,,,,,,,,,
2336,1354.0,7.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
2337,1354.0,8.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
2338,1354.0,9.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Tradition,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2339,1354.0,10.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
2340,1356.0,2.0,108,Disputes over personal propert,Yes,Extended family members (outside the household),Party has community/family respect,"No, they could not help us with the dispute",G,Traditional Leader/Elder,800.0,,0.0,,C,Traditional Leader/Elder,0.0,,0.0,
2341,1356.0,4.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Party has community/family respect,"No, the matter is still pending",B,Extended Family Members (Outside The Household),3000.0,,0.0,,B,Extended Family Member,0.0,,0.0,
2342,1356.0,4.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Most comfortable with this person,"Yes, and the matter is resolved",D,Chief/Assistant Chief,1500.0,,0.0,,D,National Government,1500.0,,0.0,
2343,1357.0,5.0,105,"Criminal matters (murder,sexua",Yes,Courts,Party has the power/authority,"Yes, and the matter is resolved",M,Courts,0.0,,0.0,,,0.0,,,0.0,
2344,1357.0,6.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,1200.0,,0.0,,,0.0,,,0.0,
2345,1357.0,8.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2346,1358.0,2.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,300.0,P,None,,X,Other (Specify),,,0.0,
2347,1358.0,8.0,112,Religious/Witchcraft offenses,Yes,Directly to the other party,Would cause least disruption to life,"No, they could not help us with the dispute",A,Directly To The Other Party,2500.0,P,None,,X,Other (Specify),,,0.0,
2348,1358.0,9.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2349,1358.0,10.0,105,"Criminal matters (murder,sexua",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,1000.0,P,None,,X,Other (Specify),,,0.0,
2350,1359.0,8.0,109,"Domestic violence (sexual, phy",Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",A,Directly To The Other Party,1500.0,,0.0,,,0.0,,,0.0,
2351,1360.0,3.0,104,Succession and inheritance (in,Yes,Lawyer,Party has technical skill,"No, the matter is still pending",K,Lawyer,40000.0,,0.0,,,0.0,,,0.0,
2352,1360.0,6.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
2353,1361.0,8.0,111,Traffic matters,Yes,Police,Party has the power/authority,"No, they could not help us with the dispute",P,None,,,0.0,,H,Police,70000.0,,0.0,
2354,1363.0,4.0,114,Corruption/bribery,Yes,Police,Would cause least disruption to life,"Yes, and the matter is resolved",L,Police,0.0,P,None,,H,Police,8000.0,,0.0,
2355,1363.0,7.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
2356,1367.0,1.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Tradition,"No, the matter is still pending",B,Extended Family Members (Outside The Household),4000.0,P,None,,X,Other (Specify),,,0.0,
2357,1367.0,3.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Tradition,Other,P,None,,,0.0,,X,Other (Specify),,,0.0,
2358,1371.0,5.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2359,1371.0,7.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2360,1371.0,9.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2361,1372.0,4.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has technical skill,"No, the matter is still pending",M,Courts,10000.0,K,Lawyer,40000.0,,0.0,0.0,,0.0,0.0
2362,1372.0,9.0,101,"Land (squatters, allocation, t",Yes,Directly to the other party,Tradition,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
2363,1375.0,2.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has technical skill,"No, the matter is still pending",L,Police,500.0,,0.0,,X,Other (Specify),,,0.0,
2364,1375.0,8.0,103,Family matters (divorce; pater,Yes,Other (specify),Party has technical skill,"No, they could not help us with the dispute",P,None,,,0.0,,,0.0,,,0.0,
2365,1376.0,1.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2366,1378.0,2.0,101,"Land (squatters, allocation, t",Yes,National government official,Party has the power/authority,"No, the matter is still pending",O,Gangs,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2367,1378.0,5.0,104,Succession and inheritance (in,Yes,Courts,Party has the power/authority,"No, the matter is still pending",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2368,1379.0,2.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
2369,1380.0,8.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Tradition,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,0.0,,0.0,0.0
2370,1383.0,3.0,103,Family matters (divorce; pater,Yes,Directly to the other party,Party has community/family respect,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
2371,1383.0,5.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
2372,1383.0,8.0,106,Natural resources (communal gr,Yes,Directly to the other party,Party has community/family respect,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
2373,1384.0,5.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
2374,1386.0,1.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,0.0,K,Lawyer,350000.0,I,Courts,0.0,J,Lawyer,0.0
2375,1386.0,3.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",D,Chief/Assistant Chief,500.0,P,None,,X,Other (Specify),0.0,,0.0,
2376,1387.0,10.0,103,Family matters (divorce; pater,Yes,Courts,Most comfortable with this person,,,0.0,,P,None,,,0.0,,,0.0,
2377,1389.0,1.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Party has technical skill,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,,0.0,,,0.0,
2378,1389.0,3.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
2379,1389.0,6.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,0.0,,0.0,,,0.0,,,0.0,
2380,1389.0,8.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
2381,1390.0,1.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,,A,Directly To The Other Party,0.0,,0.0,
2382,1390.0,2.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,,A,Directly To The Other Party,0.0,,0.0,
2383,1390.0,3.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,500.0,P,None,,D,National Government,0.0,,0.0,
2384,1390.0,3.0,102,"Commercial (unpaid debts, unde",Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",G,Traditional Leader/Elder,100.0,P,None,,C,Traditional Leader/Elder,0.0,,0.0,
2385,1390.0,4.0,110,Labour (employee/employer disp,Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",G,Traditional Leader/Elder,100.0,P,None,,C,Traditional Leader/Elder,100.0,,0.0,
2386,1390.0,5.0,101,"Land (squatters, allocation, t",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,,A,Directly To The Other Party,0.0,,0.0,
2387,1390.0,5.0,102,"Commercial (unpaid debts, unde",Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",G,Traditional Leader/Elder,100.0,P,None,,C,Traditional Leader/Elder,100.0,,0.0,
2388,1390.0,6.0,110,Labour (employee/employer disp,Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,,C,Traditional Leader/Elder,0.0,,0.0,
2389,1390.0,7.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,,,0.0,,A,Directly To The Other Party,0.0,,0.0,
2390,1390.0,8.0,111,Traffic matters,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",P,None,,,0.0,,H,Police,500.0,,0.0,
2391,1390.0,9.0,110,Labour (employee/employer disp,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,,A,Directly To The Other Party,0.0,,0.0,
2392,1391.0,9.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,
2393,1395.0,3.0,102,"Commercial (unpaid debts, unde",Yes,National government official,Party has technical skill,"No, the matter is still pending",P,None,,,0.0,,X,Other (Specify),,,0.0,
2394,1397.0,6.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Most comfortable with this person,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
2395,1397.0,7.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",P,None,,,0.0,,X,Other (Specify),,,0.0,
2396,1397.0,8.0,103,Family matters (divorce; pater,Yes,Other (specify),Cost,"No, the matter is still pending",P,None,,,0.0,,X,Other (Specify),,,0.0,
2397,1398.0,4.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has technical skill,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,X,Other (Specify),,,0.0,
2398,1398.0,5.0,103,Family matters (divorce; pater,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,1000.0,,0.0,,X,Other (Specify),,,0.0,
2399,1398.0,5.0,108,Disputes over personal propert,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,,0.0,,X,Other (Specify),,,0.0,
2400,1399.0,6.0,102,"Commercial (unpaid debts, unde",Yes,Police,Party has technical skill,"Yes, and the matter is resolved",L,Police,0.0,P,None,,H,Police,3000.0,,0.0,
2401,1400.0,4.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"No, the matter is still pending",M,Courts,30000.0,,0.0,,,0.0,0.0,,0.0,
2402,1400.0,7.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Proximity/location,"No, they could not help us with the dispute",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2403,1402.0,1.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,200.0,P,None,0.0,,0.0,,,0.0,
2404,1402.0,4.0,109,"Domestic violence (sexual, phy",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,1000.0,P,None,,H,Police,1500.0,X,Other (Specify),0.0
2405,1402.0,5.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,0.0,P,None,0.0,H,Police,0.0,,0.0,
2406,1402.0,8.0,105,"Criminal matters (murder,sexua",Yes,Police,Other (specify),"Yes, and the matter is resolved",L,Police,0.0,P,None,0.0,H,Police,0.0,X,Other (Specify),0.0
2407,1403.0,1.0,107,Tenants vs. Landlords,Yes,Traditional leader/elder,Party has community/family respect,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2408,1403.0,2.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,1000.0,,0.0,0.0
2409,1403.0,6.0,106,Natural resources (communal gr,Yes,Courts,Party has technical skill,"No, the matter is still pending",M,Courts,0.0,,0.0,0.0,I,Courts,2000.0,,0.0,0.0
2410,1403.0,8.0,107,Tenants vs. Landlords,Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2411,1404.0,1.0,114,Corruption/bribery,Yes,Police,Would cause least disruption to life,"Yes, and the matter is resolved",L,Police,0.0,,0.0,,I,Courts,1000.0,,0.0,
2412,1404.0,7.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Would cause least disruption to life,"No, the matter is still pending",D,Chief/Assistant Chief,1000.0,P,None,,X,Other (Specify),,,0.0,
2413,1404.0,8.0,101,"Land (squatters, allocation, t",Yes,National government official,Party has the power/authority,"No, the matter is still pending",E,Other National Government Official,100000.0,P,None,,D,National Government,20000.0,X,Other (Specify),
2414,1405.0,1.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Party has technical skill,"No, they decided not to rule on the matter",D,Chief/Assistant Chief,600.0,,0.0,,D,National Government,0.0,,0.0,
2415,1406.0,1.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
2416,1406.0,1.0,109,"Domestic violence (sexual, phy",Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,X,Other (Specify),0.0
2417,1406.0,3.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
2418,1406.0,3.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,0.0,P,None,0.0,H,Police,47000.0,X,Other (Specify),0.0
2419,1406.0,3.0,109,"Domestic violence (sexual, phy",Yes,None,,,,,,,,,,,,,,
2420,1406.0,4.0,109,"Domestic violence (sexual, phy",Yes,None,,,,,,,,,,,,,,
2421,1406.0,7.0,107,Tenants vs. Landlords,Yes,None,,,,,,,,,,,,,,
2422,1406.0,7.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Would cause least disruption to life,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,X,Other (Specify),0.0
2423,1407.0,10.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",N,Friend,3000.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
2424,1409.0,3.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"No, the matter is still pending",L,Police,6000.0,,0.0,,H,Police,5000.0,,0.0,
2425,1409.0,9.0,111,Traffic matters,Yes,Directly to the other party,Would cause least disruption to life,"No, they could not help us with the dispute",A,Directly To The Other Party,0.0,L,Police,0.0,A,Directly To The Other Party,0.0,H,Police,0.0
2426,1410.0,1.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
2427,1411.0,4.0,102,"Commercial (unpaid debts, unde",Yes,Chief/ Assistant Chief,Party has technical skill,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,,X,Other (Specify),,,0.0,
2428,1411.0,4.0,108,Disputes over personal propert,Yes,Police,Party has technical skill,"Yes, and the matter is resolved",L,Police,5000.0,P,None,,X,Other (Specify),,,0.0,
2429,1411.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,B,Extended Family Members (Outside The Household),2000.0,X,Other (Specify),,,0.0,
2430,1412.0,6.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,10000.0,P,None,0.0,,0.0,0.0,,0.0,0.0
2431,1412.0,9.0,105,"Criminal matters (murder,sexua",Yes,Courts,Other (specify),"No, the matter is still pending",M,Courts,7000.0,,0.0,,,0.0,0.0,,0.0,
2432,1414.0,1.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,B,Extended Family Members (Outside The Household),0.0,B,Extended Family Member,0.0,A,Directly To The Other Party,1000.0
